                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.326,                0.79182,                 1.4729,                0.73198,                   0.74,                0.72906,                0.35447,                 1.7882,                 1.0515,                 1.8921,              0.0006932,              0.0006932,              0.0006932
                     35,                  1.283,                0.76988,                 1.4485,                0.78068,                   0.71,                0.75808,                0.40161,                  1.705,                0.96152,                 1.8509,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.2347,                0.73835,                 1.4435,                0.79446,                   0.69,                0.77079,                0.38784,                 1.7886,                0.98458,                 2.0351,               0.000614,               0.000614,               0.000614
                     37,                 1.2001,                0.71395,                 1.3896,                0.80937,                0.67933,                0.74585,                0.37342,                  1.788,                 1.0166,                 1.8396,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.2043,                0.74413,                 1.3813,                0.71553,                   0.73,                0.72937,                 0.3712,                 1.7943,                 1.0612,                 1.8797,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.1565,                0.71026,                 1.3687,                0.77208,                   0.73,                0.75953,                0.38809,                 1.7404,                0.93453,                  1.831,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.1594,                0.69297,                 1.3539,                0.86706,                0.65225,                 0.7624,                0.39529,                 1.7409,                0.95312,                 1.8225,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.1136,                0.66236,                 1.3392,                0.72624,                 0.7163,                0.74035,                 0.4007,                 1.6798,                0.95389,                 1.7687,               0.000416,               0.000416,               0.000416
                     42,                 1.1324,                0.67432,                 1.3587,                0.81103,                    0.7,                0.75096,                0.38688,                 1.7515,                 0.9475,                 1.9232,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.0882,                0.65328,                 1.3286,                0.82906,                  0.679,                0.76904,                0.41483,                 1.6811,                0.90904,                   1.81,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.0883,                0.64745,                 1.3196,                0.78685,                   0.67,                0.74862,                0.39553,                 1.7321,                0.92388,                 1.9275,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.0819,                0.63259,                  1.324,                0.75135,                   0.71,                0.74961,                 0.4039,                 1.6805,                0.94869,                 1.8341,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.0316,                0.63851,                 1.2914,                 0.7903,                    0.8,                0.79047,                0.40022,                 1.7018,                0.84135,                 1.8479,               0.000218,               0.000218,               0.000218
                     47,                 1.0107,                0.60435,                 1.2749,                0.79103,                0.64354,                0.73455,                0.39005,                 1.7889,                0.89682,                 1.8971,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.0237,                0.60971,                 1.2812,                0.81543,                0.70693,                0.75011,                0.38123,                 1.7555,                0.86445,                 1.8733,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.0208,                0.60325,                 1.2862,                0.84324,                   0.66,                0.74326,                0.39554,                 1.7388,                0.88152,                 1.8639,               9.92e-05,               9.92e-05,               9.92e-05
